0,1,2
Accounting/Finance,,
Advertising/Public Relations,,
Aerospace/Aviation,fdgdg,dgdg
Arts/Entertainment/Publishing,,
Automotive,,
Banking/Mortgagexcxc,,gdgdg
Business Development,,
Business Opportunity,,
Clerical/Administrative,,
Construction/xcxcxc,,
Consumer Goodsxcxcx,,
Customer Service,,
Education/Training,,
Energy/Utilities,,
Engineering,,
Government/Military,,
Green,,
Healthcare,,
Hospitality/Travel,,
Human Resources,,
Installation/Maintenance,,
Insurance,,
Internet,,
Job Search Aids,,
Law Enforcement/Security,,
Legal,,
Management/Executive,,
Manufacturing/Operations,,
Marketing,,
Non-Profit/Volunteer,,
Pharmaceutical/Biotech,,
Professional Services,,
QA/Quality Control,,
Real Estate,,
Restaurant/Food Service,,
Retail,,
Sales,,
Science/Research,,
Skilled Labor,,
Technology,,
Telecommunications,,
Transportation/Logistics,,
Other,,
,,
,,
